PH_SEQ,PPPOS,A_AGE,A_SEX,A_MARITL,PRDTRACE,PEARNVAL,A_FNLWGT,region_id
10125.0,42.0,46.0,2.0,1.0,4.0,0.0,435804.0,1
10126.0,41.0,69.0,2.0,1.0,1.0,0.0,392020.0,1
10126.0,42.0,71.0,1.0,1.0,1.0,0.0,336708.0,1
10126.0,43.0,49.0,1.0,7.0,1.0,38000.0,426060.0,1
10126.0,44.0,36.0,1.0,7.0,1.0,36000.0,457766.0,1
10126.0,45.0,33.0,2.0,7.0,1.0,0.0,400737.0,1
10127.0,41.0,50.0,1.0,1.0,1.0,0.0,415418.0,1
10127.0,42.0,32.0,2.0,1.0,1.0,16000.0,450801.0,1
10127.0,43.0,4.0,1.0,7.0,1.0,0.0,393446.0,1
10127.0,44.0,3.0,1.0,7.0,1.0,0.0,482238.0,1
,,,,,,,,1
,,,,,,,,1
10130.0,41.0,75.0,1.0,1.0,1.0,75000.0,343332.0,1
10130.0,42.0,72.0,2.0,1.0,1.0,40000.0,336860.0,1
10131.0,41.0,49.0,1.0,1.0,1.0,100000.0,353974.0,1
10131.0,42.0,50.0,2.0,1.0,1.0,0.0,378754.0,1
10131.0,43.0,10.0,1.0,7.0,1.0,0.0,442864.0,1
10132.0,41.0,80.0,2.0,1.0,1.0,0.0,376498.0,1
10132.0,42.0,80.0,1.0,1.0,1.0,0.0,364190.0,1
10133.0,41.0,47.0,1.0,1.0,1.0,20000.0,504461.0,1
10133.0,42.0,28.0,2.0,1.0,1.0,9000.0,400016.0,1
10133.0,43.0,20.0,2.0,7.0,1.0,2200.0,474899.0,1
10133.0,44.0,3.0,2.0,7.0,1.0,0.0,398089.0,1
10133.0,45.0,47.0,1.0,7.0,1.0,0.0,504461.0,1
10133.0,46.0,54.0,2.0,5.0,1.0,25000.0,484895.0,1
10133.0,47.0,43.0,1.0,7.0,1.0,0.0,406364.0,1
10133.0,48.0,36.0,2.0,7.0,1.0,14400.0,392014.0,1
10134.0,41.0,58.0,1.0,6.0,1.0,22000.0,470214.0,1
10135.0,41.0,56.0,1.0,1.0,1.0,47000.0,359793.0,1
10135.0,42.0,63.0,2.0,1.0,1.0,40000.0,339353.0,1
10136.0,41.0,43.0,2.0,1.0,1.0,35000.0,381521.0,1
10136.0,42.0,50.0,1.0,1.0,1.0,20000.0,383127.0,1
10136.0,43.0,10.0,1.0,7.0,1.0,0.0,273038.0,1
,,,,,,,,1
,,,,,,,,1
10139.0,41.0,45.0,2.0,3.0,1.0,2000.0,350567.0,1
10139.0,42.0,8.0,1.0,7.0,1.0,0.0,496327.0,1
10140.0,41.0,45.0,2.0,1.0,2.0,17600.0,385869.0,1
10140.0,42.0,45.0,1.0,1.0,2.0,26000.0,366468.0,1
10140.0,43.0,13.0,1.0,7.0,2.0,0.0,490222.0,1
